ticker,qty,avg_entry_price,current_price,cost_basis,market_value,unrealized_pl,unrealized_plpc,timestamp
CAT,250,382.92,375.8,95730,93950,-780,-0.0185939621853129,2024_12_17_16_31_12
IOT,1200,46.01,46.78,55212,56136,-456,0.016735492284286,2024_12_17_16_31_12
VNQ,1500,94.13,93.07,141195,139605,-675,-0.0112610219908637,2024_12_17_16_31_12
