ticker,qty,avg_entry_price,current_price,cost_basis,market_value,unrealized_pl,unrealized_plpc,timestamp
CAT,250,382.92,382.75,95730,95687.5,-42.5,-0.0004439569622898,2024_12_12_11_45_51
IOT,1200,46.01,46.13,55212,55356,-324,0.0026081286676809,2024_12_12_11_45_51
SHW,100,367.13,368.25,36713,36825,112,0.0030506904911067,2024_12_12_11_45_51
