ticker,qty,avg_entry_price,current_price,cost_basis,market_value,unrealized_pl,unrealized_plpc,timestamp
IOT,1200,46.01,44.32,55212,53184,1980,-0.0367311454031732,2024_12_20_16_21_29
SPY,-1200,591.58,590.44,-709896,-708528,-5208,0.0019270428344434,2024_12_20_16_21_29
WBD,2500,11.24,10.7,28100,26750,525,-0.0480427046263345,2024_12_20_16_21_29
