ticker,qty,avg_entry_price,current_price,cost_basis,market_value,unrealized_pl,unrealized_plpc,timestamp
CAT,250,382.92,383.65,95730,95912.5,182.5,0.0019064034263031,2024_12_12_11_36_51
IOT,1200,46.01,46.24,55212,55488,-192,0.0049989132797218,2024_12_12_11_36_51
SHW,100,367.13,369.08,36713,36908,195,0.0053114700514804,2024_12_12_11_36_51
