ticker,qty,avg_entry_price,current_price,cost_basis,market_value,unrealized_pl,unrealized_plpc,timestamp
IOT,1200,46.01,44.5,55212,53400,972,-0.0328189524016518,2025_01_02_09_22_50
SPY,-1200,591.58,589.54,-709896,-707448,-4152,0.0034483924405828,2025_01_02_09_22_50
WBD,2500,11.24,10.72,28100,26800,375,-0.0462633451957295,2025_01_02_09_22_50
